county_fips,aor
37123,Atlanta
37199,Atlanta
38031,St Paul
47021,New Orleans
40117,Dallas
40027,Dallas
40077,Dallas
42099,Philadelphia
45077,Atlanta
45059,Atlanta
45085,Atlanta
45061,Atlanta
46041,St Paul
46069,St Paul
47149,New Orleans
22123,New Orleans
23023,Boston
28137,New Orleans
28161,New Orleans
51001,Washington
53009,Seattle
53047,Seattle
55007,Chicago
08019,Denver
12093,Miami
13031,Atlanta
13183,Atlanta
17155,Chicago
47145,New Orleans
47097,New Orleans
45041,Atlanta
21131,Chicago
22047,New Orleans
27103,St Paul
39003,Detroit
41047,Seattle
45015,Atlanta
51085,Washington
51047,Washington
10001,Philadelphia
13179,Atlanta
04012,Phoenix
39021,Detroit
24045,Baltimore
37165,Atlanta
02090,Seattle
45043,Atlanta
26007,Detroit
30081,Salt Lake City
16027,Salt Lake City
27013,St Paul
19101,St Paul
01009,New Orleans
21059,Chicago
22041,New Orleans
22127,New Orleans
28119,New Orleans
30099,Salt Lake City
30059,Salt Lake City
51029,Washington
51147,Washington
51031,Washington
54019,Philadelphia
54043,Philadelphia
01119,New Orleans
05107,New Orleans
13191,Atlanta
13215,Atlanta
16059,Salt Lake City
22005,New Orleans
01051,New Orleans
46123,St Paul
22065,New Orleans
24031,Baltimore
28149,New Orleans
37013,Atlanta
38087,St Paul
02110,Seattle
49045,Salt Lake City
51057,Washington
54071,Philadelphia
13089,Atlanta
13123,Atlanta
13075,Atlanta
19069,St Paul
21017,Chicago
21069,Chicago
51195,Washington
53061,Seattle
05001,New Orleans
05147,New Orleans
08013,Denver
12107,Miami
13189,Atlanta
13269,Atlanta
16033,Salt Lake City
19083,St Paul
21007,Chicago
22055,New Orleans
